fm_uid,name,nationality,nationality_code,birth_date,level,quote,karten_tendenz,spielfluss_tendenz,vorsaison_spiele,vorsaison_gelb_avg,vorsaison_rot,vorsaison_elfmeter,vorsaison_umstritten,vorsaison_competitions
51074141,Christian Kiabek Espinosa Zavala,Mexiko,mx,01.07.1983,4,13,11,10,25,"4,4",3,4,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
59098110,Zaven Hovhannisyan,Armenien,am,01.07.1980,4,13,11,10,25,"4,7",3,5,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
57118349,Imre-Laszlo Bucşi,Rumänien,ro,01.07.1984,4,12,11,10,22,"4,3",2,5,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
2000047696,Víctor Cáceres Hernández,Mexiko,mx,01.07.1986,4,12,11,10,24,"4,6",2,4,1,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
91118987,Alexander Sather,Deutschland,de,01.07.1987,4,12,11,10,25,"4,5",3,6,0,"Bundesliga, DFB-Pokal, Internationale Wettbewerbe"
14201180,Mariano Rúas,Argentinien,ar,01.07.1979,4,12,11,10,25,"4,7",2,6,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
19105709,Luiz Flávio de Oliveira,Brasilien,br,01.07.1977,4,12,16,5,23,"4,8",3,3,1,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
37006332,Dennis Higler,Niederlande,nl,01.07.1986,4,13,11,10,24,"4,4",2,4,1,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
58059506,Sergey Ivanov,Russland,ru,01.07.1984,4,12,11,10,26,"4,1",3,4,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
918986,Sébastien Moreira,Frankreich,fr,01.07.1977,4,14,11,10,26,"4,3",3,5,0,"Ligue 1, Coupe de France, Internationale Wettbewerbe"
2000233804,Luanderson Lima dos Santos,Brasilien,br,01.07.1995,4,12,11,10,24,"4,2",2,5,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
27163731,Jakob Sundberg,Dänemark,dk,01.07.1990,4,12,6,15,25,"3,8",3,5,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
43005512,Luca Pairetto,Italien,it,01.07.1984,4,15,5,16,23,"3,4",2,6,1,"Serie A, Coppa Italia, Internationale Wettbewerbe"
27072581,Morten Krogh,Dänemark,dk,01.07.1988,4,12,11,10,23,"4,1",3,4,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
58105350,Yegor Bolkhovitin,Russland,ru,01.07.1987,4,12,11,10,23,"4,4",2,3,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
62070211,Senad Ibrisimbegovic,Bosnien und Herzegowina,ba,01.07.1981,4,12,10,11,24,"4,0",2,4,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
67098017,Iñaki Bikandi Garrido,Spanien,es,01.07.1986,4,13,7,14,23,"4,1",2,6,1,"La Liga, Copa del Rey, Internationale Wettbewerbe"
75057859,Cristián Garay,Chile,cl,01.07.1989,4,12,11,10,23,"4,4",3,4,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
91193729,Wolfgang Haslberger,Deutschland,de,01.07.1993,4,12,11,10,22,"4,5",2,6,0,"Bundesliga, DFB-Pokal, Internationale Wettbewerbe"
55027447,Fábio Veríssimo,Portugal,pt,01.07.1983,3,10,14,7,21,"4,5",3,4,0,"Liga Portugal, Taça de Portugal"
62054159,Lazar Lukić,Serbien,rs,01.07.1982,3,11,9,12,21,"4,0",3,4,1,"1. Liga, Nationaler Pokal"
62141153,Jovan Šegrt,Serbien,rs,01.07.1984,3,11,12,9,21,"4,3",2,4,0,"1. Liga, Nationaler Pokal"
72038602,Drew Fischer,Kanada,ca,01.07.1980,3,8,6,15,21,"3,7",2,3,1,"1. Liga, Nationaler Pokal"
62198736,Nikola Đorović,Serbien,rs,01.07.1989,3,12,11,10,22,"4,4",3,5,0,"1. Liga, Nationaler Pokal"
2000220890,Matthew Corlett,England,gb-eng,01.07.1994,3,11,11,10,23,"4,4",3,4,0,"Premier League, FA Cup"
77059543,Alex Valdiviezo,Peru,pe,01.07.1979,3,11,11,10,24,"4,5",2,6,0,"1. Liga, Nationaler Pokal"
78046403,Leodán González,Uruguay,uy,01.07.1983,3,15,13,8,24,"4,8",2,5,0,"1. Liga, Nationaler Pokal"
2000018663,José Méndez,Paraguay,py,01.07.1984,3,11,11,10,20,"4,1",1,5,0,"1. Liga, Nationaler Pokal"
18091038,Laurent Conotte,Belgien,be,01.07.1981,3,9,13,8,22,"4,8",3,3,1,"Pro League, Beker van België"
18105479,Rien Vanyzere,Belgien,be,01.07.1986,3,11,11,10,20,"4,3",2,3,0,"Pro League, Beker van België"
27093669,Sandi Putros,Dänemark,dk,01.07.1988,3,7,17,4,20,"5,2",3,5,1,"1. Liga, Nationaler Pokal"
29218901,James Oldham,England,gb-eng,01.07.1988,3,11,11,10,24,"4,6",2,5,0,"Premier League, FA Cup"
39032305,Þórður Arnar Árnason,Island,is,01.07.1995,3,11,11,10,22,"4,3",3,4,1,"1. Liga, Nationaler Pokal"
43118614,Simone Sozza,Italien,it,01.07.1987,3,14,6,15,24,"3,8",3,6,0,"Serie A, Coppa Italia"
47051517,Aleksandr Radiuš,Litauen,lt,01.07.1982,3,11,11,10,20,"4,2",3,4,1,"1. Liga, Nationaler Pokal"
59029183,Akmal' Kholmatov,Kasachstan,kz,01.07.1968,3,11,11,10,24,"4,7",3,6,1,"1. Liga, Nationaler Pokal"
67295872,Saúl Ais Reig,Spanien,es,01.07.1986,3,12,8,13,23,"3,8",2,6,0,"La Liga, Copa del Rey"
76053222,Mayra Sánchez,Kolumbien,co,01.07.1993,3,11,11,10,23,"4,7",3,5,1,"1. Liga, Nationaler Pokal"
2000082592,Ishmael Barbara,Malta,mt,01.07.1993,3,11,11,10,21,"4,7",3,5,0,"1. Liga, Nationaler Pokal"
2000135884,Alejandro Quintero González,Spanien,es,01.07.1993,3,11,11,10,21,"4,3",1,4,0,"La Liga, Copa del Rey"
2000255452,Salihu Basheer,Nigeria,ng,01.07.1990,3,11,11,10,23,"4,4",3,3,0,"1. Liga, Nationaler Pokal"
982820,C.J. Morgante,USA,us,01.07.1974,3,11,11,10,21,"4,2",2,3,0,"1. Liga, Nationaler Pokal"
47050156,Jevgēnijs Morozovs,Lettland,lv,01.07.1986,3,11,11,10,21,"4,5",1,4,0,"1. Liga, Nationaler Pokal"
53000168,Jan Erik Engan,Norwegen,no,01.07.1986,3,11,11,10,22,"4,3",3,4,1,"1. Liga, Nationaler Pokal"
62232886,Danilo Jerinić,Serbien,rs,01.07.1989,3,11,11,10,23,"4,4",2,3,1,"1. Liga, Nationaler Pokal"
2000047673,Jesús Soto Dávila,Mexiko,mx,01.07.1989,3,11,11,10,20,"4,6",2,5,1,"1. Liga, Nationaler Pokal"
861293,Pol van Boekel,Niederlande,nl,01.07.1976,3,9,8,13,23,"4,3",3,5,1,"1. Liga, Nationaler Pokal"
24047449,Hrvoje Radić,Kroatien,hr,01.07.1982,3,11,11,10,21,"4,3",2,5,1,"1. Liga, Nationaler Pokal"
31001057,Dmitri Vinogradov,Estland,ee,01.07.1974,3,11,11,10,22,"4,6",2,6,0,"1. Liga, Nationaler Pokal"
4200541,Gorka Sagués Oscoz,Spanien,es,01.07.1981,3,11,12,9,24,"4,6",2,5,1,"La Liga, Copa del Rey"
7481650,Vladimir Ischenko,Belarus,by,01.07.1975,3,12,10,11,22,"4,2",3,4,0,"1. Liga, Nationaler Pokal"
14011621,Pablo Giménez,Argentinien,ar,01.07.1983,3,15,11,10,22,"4,3",3,3,0,"1. Liga, Nationaler Pokal"
49036890,Thierry Bouillé,Frankreich,fr,01.07.1987,3,11,11,10,21,"4,1",2,3,1,"Ligue 1, Coupe de France"
62096439,Vladan Todorović,Montenegro,me,01.07.1984,3,11,11,10,24,"4,6",2,5,0,"1. Liga, Nationaler Pokal"
63036287,Bystrik Nemecek,Slowakei,sk,01.07.1988,3,11,11,10,23,"4,3",3,5,0,"1. Liga, Nationaler Pokal"
81014137,Damian Williams,Jamaika,jm,01.07.1987,3,14,7,14,21,"4,1",2,3,0,"1. Liga, Nationaler Pokal"
82083180,Gillian Martindale,Barbados,bb,01.07.1974,3,11,11,10,21,"4,7",2,6,1,"1. Liga, Nationaler Pokal"
2000003313,Alain Durieux,Luxemburg,lu,01.07.1986,3,11,11,10,21,"4,6",2,6,1,"1. Liga, Nationaler Pokal"
2000005300,Danny Kolding,Dänemark,dk,01.07.1990,3,11,11,10,23,"4,5",3,4,1,"1. Liga, Nationaler Pokal"
22075395,Georgi Ginchev,Bulgarien,bg,01.07.1988,3,11,11,10,22,"4,1",3,4,0,"1. Liga, Nationaler Pokal"
2000088480,Igor Júnior Benevenuto,Brasilien,br,01.07.1981,3,11,11,10,20,"4,2",3,5,0,"1. Liga, Nationaler Pokal"
2000191056,Predrag Simić,Serbien,rs,01.07.1993,3,11,8,13,20,"4,1",2,5,1,"1. Liga, Nationaler Pokal"
19395561,Andreza Helena de Siqueira,Brasilien,br,01.07.1987,3,11,11,10,23,"4,5",2,5,0,"1. Liga, Nationaler Pokal"
21028102,Dragan Petrovic,Bosnien und Herzegowina,ba,01.07.1982,3,12,11,10,24,"4,3",2,4,1,"1. Liga, Nationaler Pokal"
23289387,Taqi Al-Jaafari Jahari,Singapur,sg,01.07.1987,3,11,11,10,23,"4,2",3,3,1,"1. Liga, Nationaler Pokal"
62250499,Mateo Tozan,Slowenien,si,01.07.1997,3,11,11,10,21,"4,6",3,5,1,"1. Liga, Nationaler Pokal"
21027202,Davor Beljo,Bosnien und Herzegowina,ba,01.07.1983,3,11,11,10,24,"4,3",2,4,1,"1. Liga, Nationaler Pokal"
2000005579,Troels Christensen,Dänemark,dk,01.07.1994,3,11,11,10,22,"4,3",2,5,1,"1. Liga, Nationaler Pokal"
6601718,Quentin Pirard,Belgien,be,01.07.1992,3,11,11,10,24,"4,1",2,6,0,"Pro League, Beker van België"
33052967,Petri Viljanen,Finnland,fi,01.07.1987,3,12,9,12,21,"4,2",3,4,0,"1. Liga, Nationaler Pokal"
36078261,Christos Magiannis,Griechenland,gr,01.07.1979,3,11,11,10,22,"4,6",2,5,1,"1. Liga, Nationaler Pokal"
36078322,Aris Vatsios,Griechenland,gr,01.07.1987,3,11,10,11,23,"4,3",3,4,1,"1. Liga, Nationaler Pokal"
36152575,Stefanos Koubarakis,Griechenland,gr,01.07.1989,3,11,14,7,23,"4,6",3,5,0,"1. Liga, Nationaler Pokal"
38065014,Ádám Pillók,Ungarn,hu,01.07.1988,3,12,10,11,23,"4,0",2,4,0,"1. Liga, Nationaler Pokal"
38065073,Marcell Derdák,Ungarn,hu,01.07.1992,3,11,11,10,23,"4,1",2,6,0,"1. Liga, Nationaler Pokal"
62198877,Robert Šprah,Slowenien,si,01.07.1982,3,12,9,12,23,"4,4",3,6,1,"1. Liga, Nationaler Pokal"
66033538,Seung-Min Ji,Südkorea,kr,01.07.1976,3,13,12,9,22,"4,3",2,4,0,"1. Liga, Nationaler Pokal"
70120645,Oğuzhan Çakır,Türkei,tr,01.07.1998,3,10,17,4,24,"5,4",3,3,0,"Süper Lig, Türkiye Kupası"
78106187,Sebastián Schroeder,Uruguay,uy,01.07.1990,3,11,11,10,21,"4,6",1,4,1,"1. Liga, Nationaler Pokal"
96162153,Patryk Gryckiewicz,Polen,pl,01.07.1995,3,11,11,10,24,"4,5",2,4,1,"1. Liga, Nationaler Pokal"
2000049166,Cristian Cernadas,Argentinien,ar,01.07.1978,3,15,9,12,21,"4,0",2,3,1,"1. Liga, Nationaler Pokal"
2000049357,Sebastián Martínez,Argentinien,ar,01.07.1990,3,15,10,11,21,"4,1",2,4,0,"1. Liga, Nationaler Pokal"
2000113223,Predrag Rađen,Serbien,rs,01.07.1991,3,11,11,10,24,"4,7",2,5,1,"1. Liga, Nationaler Pokal"
2000116430,Damian Kos,Polen,pl,01.07.1989,3,11,11,10,23,"4,1",2,4,1,"1. Liga, Nationaler Pokal"
2000221631,Anahí Fernández,Uruguay,uy,01.07.1993,3,20,11,10,21,"4,5",2,5,0,"1. Liga, Nationaler Pokal"
2000262854,Kevin Debeuckelaere,Belgien,be,01.07.1990,3,11,11,10,24,"4,5",3,4,0,"Pro League, Beker van België"
27113348,Esad Deronjic,Dänemark,dk,01.07.1991,3,11,11,10,24,"4,2",2,4,0,"1. Liga, Nationaler Pokal"
64018952,Denis Horvat,Slowenien,si,01.07.1985,3,11,11,10,24,"4,3",2,5,0,"1. Liga, Nationaler Pokal"
1039303,Kwok Man Liu,Hong Kong (VR China),hk,01.07.1978,3,6,19,2,20,"5,1",1,5,1,"1. Liga, Nationaler Pokal"
78102854,Wilmar Godoy,Uruguay,uy,01.07.1988,3,10,11,10,21,"4,2",2,5,1,"1. Liga, Nationaler Pokal"
352787,Kenwyn Hughes,Wales,gb-wls,01.07.1986,3,10,11,10,22,"4,2",2,3,1,"1. Liga, Nationaler Pokal"
352955,Mark Petch,Wales,gb-wls,01.07.1969,3,10,6,15,24,"3,7",3,4,1,"1. Liga, Nationaler Pokal"
14200757,Yamil Possi,Argentinien,ar,01.07.1982,3,16,9,12,21,"4,2",2,4,1,"1. Liga, Nationaler Pokal"
14201214,Sebastián Bresba,Argentinien,ar,01.07.1979,3,15,10,11,20,"4,3",3,3,0,"1. Liga, Nationaler Pokal"
22054201,Georgi Davidov,Bulgarien,bg,01.07.1985,3,10,15,6,22,"5,0",3,3,1,"1. Liga, Nationaler Pokal"
38065192,Katalin Kulcsár,Ungarn,hu,01.07.1985,3,10,11,10,24,"4,3",2,5,1,"1. Liga, Nationaler Pokal"
45038237,Shôji Akisawa,Japan,jp,01.07.1981,3,10,11,10,21,"4,6",1,5,1,"1. Liga, Nationaler Pokal"
45038262,Tadashi Baba,Japan,jp,01.07.1976,3,10,11,10,21,"4,4",1,4,1,"1. Liga, Nationaler Pokal"
45089722,Yoshihito Hayashi,Japan,jp,01.07.1977,3,10,11,10,20,"4,3",3,4,0,"1. Liga, Nationaler Pokal"
53112957,Mohammed Usman Aslam,Norwegen,no,01.07.1994,3,6,11,10,20,"4,5",3,4,1,"1. Liga, Nationaler Pokal"
59098139,Ismailjan Talypjanov,Kirgisistan,kg,01.07.1988,3,10,11,10,22,"4,5",1,4,0,"1. Liga, Nationaler Pokal"
62198629,Nemanja Ćirić,Serbien,rs,01.07.1990,3,13,11,10,20,"4,6",1,3,1,"1. Liga, Nationaler Pokal"
62250459,Stefan Ćirić,Serbien,rs,01.07.1992,3,13,11,10,24,"4,4",2,6,1,"1. Liga, Nationaler Pokal"
74055874,Ian Bird,Wales,gb-wls,01.07.1985,3,10,11,10,22,"4,2",3,4,0,"1. Liga, Nationaler Pokal"
75017319,Julio Díaz,Chile,cl,01.07.1976,3,10,11,10,20,"4,6",3,5,1,"1. Liga, Nationaler Pokal"
75018622,Carlos Poblete,Chile,cl,01.07.1981,3,10,11,10,21,"4,4",2,4,1,"1. Liga, Nationaler Pokal"
75042269,Julio Abdala,Chile,cl,01.07.1985,3,10,11,10,23,"4,4",2,5,0,"1. Liga, Nationaler Pokal"
75057929,Manuel Requena,Chile,cl,01.07.1979,3,10,11,10,22,"4,4",2,3,1,"1. Liga, Nationaler Pokal"
77052368,Gean Barbagelata,Peru,pe,01.07.1989,3,10,11,10,23,"4,5",3,4,0,"1. Liga, Nationaler Pokal"
78085669,Federico Modernell,Uruguay,uy,01.07.1988,3,16,11,10,23,"4,4",3,6,0,"1. Liga, Nationaler Pokal"
81008225,Lewin Purser,Jamaika,jm,01.07.1972,3,15,6,15,23,"4,0",2,4,0,"1. Liga, Nationaler Pokal"
83322286,David Silva,Portugal,pt,01.07.1993,3,11,10,11,23,"4,2",3,5,0,"Liga Portugal, Taça de Portugal"
2000004060,Michael Geerolf,Belgien,be,01.07.1986,3,11,11,10,20,"4,6",2,3,0,"Pro League, Beker van België"
2000062516,Balint Kiss,Slowakei,sk,01.07.1994,3,10,11,10,22,"4,2",2,5,1,"1. Liga, Nationaler Pokal"
19310297,Rafael Carlos Salgueiro Lima,Brasilien,br,01.07.1983,2,10,11,10,20,"4,7",2,5,1,"2. Liga, Nationaler Pokal"
84159720,Mirel Turkes,Schweiz,ch,01.07.1992,2,12,11,10,16,"4,4",1,4,0,"Challenge League, Schweizer Cup"
19260453,Ilbert Estevam da Silva,Brasilien,br,01.07.1984,2,10,11,10,16,"4,4",2,4,1,"2. Liga, Nationaler Pokal"
36159465,Giorgos Tasis,Griechenland,gr,01.07.1985,2,10,11,10,20,"4,3",3,4,1,"2. Liga, Nationaler Pokal"
57059182,Cătălin Buşi,Rumänien,ro,01.07.1981,2,11,13,8,17,"4,6",1,4,0,"2. Liga, Nationaler Pokal"
72054414,Tim Ford,USA,us,01.07.1975,2,16,10,11,19,"4,4",2,5,0,"2. Liga, Nationaler Pokal"
83216409,Hugo Ribeiro,Portugal,pt,01.07.1981,2,10,9,12,19,"4,0",1,3,0,"Liga Portugal 2, Taça de Portugal"
2000027235,Samir Zolota,Frankreich,fr,01.07.1986,2,10,11,10,20,"4,3",2,4,1,"Ligue 2, Coupe de France"
47101969,Artūrs Vītoliņš,Lettland,lv,01.07.1990,2,10,11,10,16,"4,1",2,4,0,"2. Liga, Nationaler Pokal"
22085717,Ivaylo Nenkov,Bulgarien,bg,01.07.1992,2,10,11,10,16,"4,4",3,2,1,"2. Liga, Nationaler Pokal"
38015614,Tibor Farkas,Ungarn,hu,01.07.1983,2,10,11,10,17,"4,1",3,4,1,"2. Liga, Nationaler Pokal"
72020632,Mike Rottersman,USA,us,01.07.1977,2,10,11,10,19,"4,2",2,3,0,"2. Liga, Nationaler Pokal"
13151975,Slim Belkhaouas,Tunesien,tn,01.07.1979,2,10,11,10,18,"4,6",2,4,0,"2. Liga, Nationaler Pokal"
17038784,Sergey Gorayutin,Belarus,by,01.07.1985,2,12,11,10,17,"4,5",2,5,1,"2. Liga, Nationaler Pokal"
24060370,Anto Marić,Kroatien,hr,01.07.1992,2,10,11,10,19,"4,2",2,3,1,"2. Liga, Nationaler Pokal"
33028149,Marko Nieminen,Finnland,fi,01.07.1971,2,10,11,10,17,"4,6",2,4,1,"2. Liga, Nationaler Pokal"
41047092,Oki Dwi Putra Senjaya,Indonesien,id,01.07.1983,2,12,9,12,20,"4,4",2,3,0,"2. Liga, Nationaler Pokal"
42099399,Gal Levy,Israel,il,01.07.1997,2,11,10,11,19,"4,4",1,4,0,"2. Liga, Nationaler Pokal"
45083333,Masahiro Horikoshi,Japan,jp,01.07.1980,2,10,11,10,17,"4,3",1,5,0,"2. Liga, Nationaler Pokal"
47041007,Duncan Sultana,Malta,mt,01.07.1980,2,10,11,10,20,"4,2",3,4,0,"2. Liga, Nationaler Pokal"
58085714,Alexandr Bogdanov,Russland,ru,01.07.1984,2,10,11,10,19,"4,3",3,4,0,"2. Liga, Nationaler Pokal"
70096500,Erkan Ozdamar,Türkei,tr,01.07.1988,2,11,13,8,16,"4,8",2,2,0,"1. Lig, Türkiye Kupası"
82065966,Sandy Vasquez Vargas,Dominikanische Republik,do,01.07.1978,2,10,11,10,20,"4,6",3,5,1,"2. Liga, Nationaler Pokal"
2000049972,Andreia Sousa,Portugal,pt,01.07.1987,2,10,11,10,20,"4,1",2,5,1,"Liga Portugal 2, Taça de Portugal"
2000079408,Doru Claudiu Lucaciu,Rumänien,ro,01.07.1985,2,10,11,10,16,"4,7",2,3,1,"2. Liga, Nationaler Pokal"
2000085042,Kleon Lindey,Guyana,gy,01.07.1983,2,10,11,10,17,"4,5",3,4,0,"2. Liga, Nationaler Pokal"
2103658,Wladyerisson Silva Oliveira,Brasilien,br,01.07.1977,2,10,13,8,17,"4,6",3,2,0,"2. Liga, Nationaler Pokal"
16078538,Edin Omerhodzic,Österreich,at,01.07.1984,2,15,7,14,20,"3,9",3,5,0,"2. Liga, ÖFB-Cup"
34039682,Yinhao Shen,China,cn,01.07.1987,2,10,11,10,20,"4,6",3,3,0,"2. Liga, Nationaler Pokal"
38065133,Gábor Máyer,Ungarn,hu,01.07.1995,2,10,11,10,17,"4,5",1,5,1,"2. Liga, Nationaler Pokal"
71115385,Oleksandr Dashko,Ukraine,ua,01.07.1986,2,10,11,10,16,"4,6",1,4,1,"2. Liga, Nationaler Pokal"
77059602,Francisco Ziani,Peru,pe,01.07.1987,2,10,11,10,20,"4,5",2,4,0,"2. Liga, Nationaler Pokal"
31051563,Callum Walchester,England,gb-eng,01.07.1994,2,10,11,10,20,"4,6",3,4,0,"Championship, FA Cup"
37053327,Freek Vandeursen,Niederlande,nl,01.07.1983,2,10,11,10,16,"4,3",2,3,0,"2. Liga, Nationaler Pokal"
47090844,Risto Eelmaa,Estland,ee,01.07.1977,2,10,11,10,18,"4,5",1,4,0,"2. Liga, Nationaler Pokal"
83113173,Luís Máximo,Portugal,pt,01.07.1990,2,11,11,10,20,"4,4",2,4,0,"Liga Portugal 2, Taça de Portugal"
84151513,David Schärli,Schweiz,ch,01.07.1988,2,10,11,10,17,"4,7",2,4,0,"Challenge League, Schweizer Cup"
37088313,Franca Overtoom,Niederlande,nl,01.07.1992,2,10,11,10,16,"4,5",3,2,0,"2. Liga, Nationaler Pokal"
66043360,Hyun-Jai Choi,Südkorea,kr,01.07.1991,2,9,10,11,19,"4,4",3,4,0,"2. Liga, Nationaler Pokal"
53173505,Ole-Alexander Valen,Norwegen,no,01.07.1991,2,10,11,10,16,"4,2",2,4,0,"2. Liga, Nationaler Pokal"
71115325,Serhiy Zadyran,Ukraine,ua,01.07.1993,2,10,11,10,18,"4,2",2,2,1,"2. Liga, Nationaler Pokal"
13151811,Mahmoud Ashour,Ägypten,eg,01.07.1977,2,9,11,10,19,"4,5",2,3,0,"2. Liga, Nationaler Pokal"
27150977,Sebastian Aagerup,Dänemark,dk,01.07.1996,2,9,11,10,16,"4,7",2,2,0,"2. Liga, Nationaler Pokal"
36099025,Nikos Rousos-Bekertzis,Griechenland,gr,01.07.1979,2,9,11,10,17,"4,1",3,2,0,"2. Liga, Nationaler Pokal"
37088284,Martijn Beijer,Niederlande,nl,01.07.1988,2,9,11,10,20,"4,6",2,3,1,"2. Liga, Nationaler Pokal"
39042637,Gunnþór Steinar Jónsson,Island,is,01.07.1978,2,9,11,10,20,"4,1",2,3,0,"2. Liga, Nationaler Pokal"
62217177,Bojan Paštar,Serbien,rs,01.07.1988,2,9,11,10,17,"4,6",1,4,0,"2. Liga, Nationaler Pokal"
65028667,Kulesande Qongco,Südafrika,za,01.07.1981,2,9,11,10,17,"4,6",1,5,1,"2. Liga, Nationaler Pokal"
78049026,Nadia Fuques,Uruguay,uy,01.07.1988,2,16,11,10,16,"4,3",1,4,0,"2. Liga, Nationaler Pokal"
2000004169,Audrick Nkole,Sambia,zm,01.07.1984,2,9,11,10,18,"4,4",1,4,0,"2. Liga, Nationaler Pokal"
2000142808,Sapir Berman,Israel,il,01.07.1994,2,9,11,10,18,"4,4",1,3,0,"2. Liga, Nationaler Pokal"
2000255565,Stefan Macanović,Österreich,at,01.07.1998,2,9,11,10,18,"4,6",1,4,1,"2. Liga, ÖFB-Cup"
82066022,Gianni Ascani,Turks & Caicos Inseln,tc,01.07.1978,2,9,11,10,19,"4,3",3,3,1,"2. Liga, Nationaler Pokal"
2000003702,Peter Schörkhuber,Österreich,at,01.07.1978,2,15,9,12,20,"4,3",2,3,0,"2. Liga, ÖFB-Cup"
65012083,Johannes Moshidi,Südafrika,za,01.07.1975,2,9,11,10,18,"4,4",1,4,0,"2. Liga, Nationaler Pokal"
2000255518,Christopher Bartsch,Österreich,at,01.07.1999,2,9,11,10,20,"4,2",3,3,0,"2. Liga, ÖFB-Cup"
47069613,Mangirdas Mirauskas,Litauen,lt,01.07.1996,2,9,11,10,19,"4,4",2,3,1,"2. Liga, Nationaler Pokal"
83113094,João Borlindo Matos,Portugal,pt,01.07.1984,2,9,13,8,16,"4,5",1,4,0,"Liga Portugal 2, Taça de Portugal"
2000003686,Biljana Iskin,Österreich,at,01.07.1981,2,18,7,14,19,"3,6",1,5,0,"2. Liga, ÖFB-Cup"
2000005525,Jakob Bo Schmidt,Dänemark,dk,01.07.1990,2,9,11,10,17,"4,3",2,4,0,"2. Liga, Nationaler Pokal"
2000030933,Páll Augustinussen,Färöer,fo,01.07.1971,2,16,11,10,17,"4,2",2,4,0,"2. Liga, Nationaler Pokal"
