club_name,club_short_name,founded_year,club_city,country,latitude,longitude,fmi_club_id,tm_club_id,stadium_name,stadium_city,stadium_capacity,season_id,season_label,ws_club,real_club,loaned_from,squad_status,fm_unique_id,tm_player_id,tm_url,fmi_url,sofifa_id,sofifa_url,first_name,last_name,display_name,date_of_birth,height_cm,preferred_foot,primary_nationality,nationalities,tm_market_value_eur,hp_positions,np_positions,position_method,fmi_rating,fmi_potential,fmi_pace,fmi_stamina,fmi_strength,fmi_technique,fmi_dribbling,fmi_passing,fmi_crossing,fmi_tackling,fmi_positioning,fmi_finishing,fmi_heading,fmi_vision,fmi_teamwork,fmi_corners,fmi_free_kick_taking,fmi_penalty_taking,fmi_gk_reflexes,fmi_gk_handling,fmi_gk_one_on_ones,fmi_gk_positioning,fmi_gk_passing,sofifa_rating,sofifa_potential,sofifa_pace,sofifa_stamina,sofifa_strength,sofifa_dribbling,sofifa_short_passing,sofifa_long_passing,sofifa_crossing,sofifa_finishing,sofifa_heading,sofifa_standing_tackle,sofifa_defensive_awareness,sofifa_vision,sofifa_free_kick,sofifa_penalties,sofifa_gk_reflexes,sofifa_gk_handling,sofifa_gk_positioning,sofifa_gk_passing,fmi_source_version,sofifa_source_version,data_status,validation_warning
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,2000312010,1048715,https://www.transfermarkt.de/-/profil/spieler/1048715,https://fminside.net/players/7-fm-26/2000312010-fernando-dickes,77589,https://sofifa.com/player/77589/,Fernando,Dickes,Fernando Dickes,2007-10-13,193,links,Deutschland,Deutschland,300000,TW,,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,43,,,,,,,,,,,,,,,,,,65,,,,,57,77,60,25,56,,,,,,,,,,,,59,56,52,55,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – aktuelle Ergänzung 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,91178620,469949,https://www.transfermarkt.de/-/profil/spieler/469949,https://fminside.net/players/7-fm-26/91178620-noah-katterbach,246666,https://sofifa.com/player/246666/,Noah,Katterbach,Noah Katterbach,2001-04-13,180,links,Germany,Germany,600000,LV,RM|LM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,58,65,65,65,50,65,65,65,65,55,50,35,40,60,65,55,55,40,,,,,,68,73,69,52,54,72,66,53,65,40,54,68,66,53,31,41,8,13,10,12,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,AS Saint-Étienne,Hamburger SV,loaned_out,2000316142,1052420,https://www.transfermarkt.de/-/profil/spieler/1052420,https://fminside.net/players/7-fm-26/2000316142-aboubaka-soumahoro,71611,https://sofifa.com/player/71611/,Aboubaka,Soumahoro,Aboubaka Soumahoro,2005-02-04,187,links,Frankreich,Frankreich|Elfenbeinküste,1200000,IV,LV|DM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,58,71,65,65,70,60,55,60,50,70,60,30,60,55,70,30,30,35,,,,,,64,77,63,56,71,55,62,56,44,22,67,68,57,49,25,38,,,,,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – aktuelle Ergänzung 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,28100045,298603,https://www.transfermarkt.de/-/profil/spieler/298603,https://fminside.net/players/7-fm-26/28100045-miro-muheim,232839,https://sofifa.com/player/232839/,Miro,Muheim,Miro Muheim,1998-03-24,182,links,Switzerland,Switzerland,5000000,LV,LM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,67,68,65,70,60,65,60,65,75,65,60,40,60,65,80,85,80,65,,,,,,75,75,74,86,68,74,75,72,74,62,59,73,73,70,73,56,7,14,8,10,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,FC Arsenal,loaned_in,83174759,537598,https://www.transfermarkt.de/-/profil/spieler/537598,https://fminside.net/players/7-fm-26/83174759-fabio-vieira,256958,https://sofifa.com/player/256958/,Fábio,Vieira,Fábio Vieira,2000-05-30,173,links,Portugal,Portugal,18000000,ZM,OM|RF,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,70,75,65,65,40,85,75,80,65,45,45,55,30,75,60,70,75,85,,,,,,77,81,72,66,48,79,81,80,76,74,46,60,59,82,72,72,6,5,13,15,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,18097160,381967,https://www.transfermarkt.de/-/profil/spieler/381967,https://fminside.net/players/7-fm-26/18097160-albert-sambi-lokonga,241928,https://sofifa.com/player/241928/,Albert Sambi,Lokonga,Albert Sambi Lokonga,1999-10-22,183,rechts,Belgium,Belgium|DR Kongo,12000000,ZM,DM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,68,78,60,75,60,75,65,80,50,60,60,50,60,70,80,55,55,55,,,,,,76,78,60,75,68,78,79,78,68,63,65,72,64,74,68,41,9,7,13,6,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,SV Elversberg,Hamburger SV,loaned_out,96131652,532169,https://www.transfermarkt.de/-/profil/spieler/532169,https://fminside.net/players/7-fm-26/96131652-ukasz-porba,246301,https://sofifa.com/player/246301/,Łukasz,Poręba,Łukasz Poręba,2000-03-13,179,rechts,Polen,Polen,2500000,DM,ZM|OM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,60,68,,,,,,,55,,,,,,,,,,,,,,,69,74,67,69,72,63,70,69,54,53,59,69,68,69,56,54,,,,,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – aktuelle Ergänzung 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,2000036575,592534,https://www.transfermarkt.de/-/profil/spieler/592534,https://fminside.net/players/7-fm-26/2000036575-nicolai-remberg,276119,https://sofifa.com/player/276119/,Nicolai,Remberg,Nicolai Remberg,2000-06-19,187,rechts,Germany,Germany,9000000,ZM,DM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,65,70,65,80,80,55,55,60,40,75,65,40,70,55,80,30,30,55,,,,,,73,76,65,89,85,70,76,73,56,55,73,76,73,69,39,39,12,11,14,8,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,92083800,415194,https://www.transfermarkt.de/-/profil/spieler/415194,https://fminside.net/players/7-fm-26/92083800-bakery-jatta,234640,https://sofifa.com/player/234640/,Bakery,Jatta,Bakery Jatta,1998-06-06,184,rechts,Gambia,Gambia|Deutschland,1000000,RF,RM|RV,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,60,65,75,70,70,45,60,50,50,60,50,40,65,45,55,30,30,50,,,,,,69,69,79,75,77,68,68,60,70,68,58,58,41,70,49,61,9,11,9,8,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,91205184,470038,https://www.transfermarkt.de/-/profil/spieler/470038,https://fminside.net/players/7-fm-26/91205184-ransford-konigsdorffer,255036,https://sofifa.com/player/255036/,Ransford,Königsdörffer,Ransford Königsdörffer,2001-09-13,182,rechts,Ghana,Ghana|Deutschland,5000000,ST,OM|RF,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,63,69,75,60,60,60,65,50,50,40,40,60,65,45,60,30,55,60,,,,,,70,77,81,74,64,74,68,59,61,70,68,42,37,67,42,60,7,10,6,9,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,SV Elversberg,Hamburger SV,loaned_out,37060940,412935,https://www.transfermarkt.de/-/profil/spieler/412935,https://fminside.net/players/7-fm-26/37060940-immanuel-pherai,243904,https://sofifa.com/player/243904/,Immanuel,Pherai,Immanuel Pherai,2001-04-25,175,rechts,Suriname,Suriname|Niederlande,1500000,OM,ZM|LF,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,60,70,75,65,40,75,75,60,60,40,35,50,30,60,55,65,65,60,,,,,,69,75,81,61,50,71,69,65,57,61,42,29,36,70,53,50,,,,,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – aktuelle Ergänzung 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,2000161478,910541,https://www.transfermarkt.de/-/profil/spieler/910541,https://fminside.net/players/7-fm-26/2000161478-fabio-balde,74102,https://sofifa.com/player/74102/,Fábio,Baldé,Fábio Baldé,2005-07-20,182,rechts,Portugal,Portugal|Portugal,5000000,LF,RF|LM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,55,,85,55,45,55,65,45,65,35,35,40,35,45,55,40,40,55,,,,,,66,77,83,54,64,70,62,56,64,61,45,35,27,57,44,48,10,9,8,6,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,2000313833,1213681,https://www.transfermarkt.de/-/profil/spieler/1213681,https://fminside.net/players/7-fm-26/2000313833-alexander-rssing-lelesiit,72319,https://sofifa.com/player/72319/,Alexander,Røssing-Lelesiit,Alexander Røssing-Lelesiit,2007-01-20,184,rechts,Norwegen,Norwegen,5000000,LF,RF|LM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,55,,70,55,45,65,70,50,55,35,30,50,40,50,60,60,55,55,,,,,,63,80,74,36,37,65,55,45,58,55,32,22,22,49,37,53,,,,,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – aktuelle Ergänzung 2026-06-17,import_ready,FM-Export nennt 19.01.2007; aktuelle TM-/CMTracker-Daten verwenden 20.01.2007.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,27139574,503866,https://www.transfermarkt.de/-/profil/spieler/503866,https://fminside.net/players/7-fm-26/27139574-albert-grnbk,256949,https://sofifa.com/player/256949/,Albert,Grønbæk,Albert Grønbæk,2001-05-23,181,rechts,Denmark,Denmark,5000000,OM,ZM|LM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,63,70,65,65,45,,,,60,,,,,,,70,70,75,,,,,,73,78,75,78,65,75,74,71,69,70,55,64,62,75,62,56,9,12,6,13,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,FC Basel 1893,loaned_in,47101258,678655,https://www.transfermarkt.de/-/profil/spieler/678655,https://fminside.net/players/7-fm-26/47101258-philip-otele,266395,https://sofifa.com/player/266395/,Philip,Otele,Philip Otele,1999-04-15,178,rechts,Nigeria,Nigeria,4000000,LM,LF|ST,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,62,69,70,65,65,60,75,50,55,35,,55,55,,,55,60,55,,,,,,73,73,89,74,73,80,68,60,60,77,52,26,24,57,52,52,11,12,8,11,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV II,,reserve,91119701,168543,https://www.transfermarkt.de/-/profil/spieler/168543,https://fminside.net/players/7-fm-26/91119701-levin-oztunali,213134,https://sofifa.com/player/213134/,Levin,Öztunalı,Levin Öztunalı,1996-03-15,184,rechts,Germany,Germany|Türkei,150000,LF,OM|RF,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,56,64,,,,,,,50,,,,,,,,,,,,,,,67,67,74,64,71,68,65,60,63,62,54,48,43,67,68,58,9,16,15,13,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Maccabi Tel Aviv,Hamburger SV,loaned_out,47064790,403177,https://www.transfermarkt.de/-/profil/spieler/403177,https://fminside.net/players/7-fm-26/47064790-emir-sahiti,263056,https://sofifa.com/player/263056/,Emir,Sahiti,Emir Sahiti,1998-11-29,184,rechts,Kosovo,Kosovo|Albanien,1700000,RF,RM|LF,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,60,63,65,70,45,65,75,60,60,45,40,50,30,60,65,65,60,60,,,,,,70,70,75,66,56,73,66,64,67,68,52,42,43,66,62,59,,,,,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – aktuelle Ergänzung 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
