"attributes.acceleration","attributes.sprintspeed","attributes.agility","attributes.balance","attributes.jumping","attributes.stamina","attributes.strength","attributes.reactions","attributes.aggression","attributes.composure","attributes.interceptions","attributes.positioning","attributes.vision","attributes.ballcontrol","attributes.crossing","attributes.dribbling","attributes.finishing","attributes.freekickaccuracy","attributes.headingaccuracy","attributes.longpassing","attributes.shortpassing","attributes.marking","attributes.shotpower","attributes.longshots","attributes.standingtackle","attributes.slidingtackle","attributes.volleys","attributes.curve","attributes.penalties","attributes.gkdiving","attributes.gkhandling","attributes.gkkicking","attributes.gkreflexes","attributes.gkpositioning","stats.attack","stats.defending","stats.skill","stats.power","stats.movement","stats.mentality","stats.goalkeeper","info.contract.jointeamdate","info.contract.enddate","info.contract.isloanedout","info.nation.id","info.nation.name","info.name.firstname","info.name.lastname","info.name.playerjerseyname","info.name.knownas","info.name.firstnameid","info.name.lastnameid","info.name.playerjerseynameid","info.playerid","info.total_attributes","info.overallrating","info.potential","info.birthdate","info.age","info.teams.club_team.id","info.teams.club_team.name","info.teams.club_team.leagueid","info.teams.club_team.domesticprestige","info.teams.club_team.profitability","info.teams.club_team.slug","info.teams.club_team.jerseynumber","info.league","info.headshot","info.haircolor","info.eyecolor","info.skintone","info.headtype","info.bodytype","info.preferredfoot","info.skillmoves","info.weafoot","info.internationalrep","info.ovrmodifier","info.release_clause","info.height","info.weight","info.gender","info.defensiveworkrate","info.attackingworkrate","info.real_face","info.isretiring","info.valueUSD","info.valueEUR","info.valueGBP","info.wageUSD","info.wageEUR","info.wageGBP","info.traits.trait1","info.traits.trait2","card_attrs.pac","card_attrs.sho","card_attrs.pas","card_attrs.dri","card_attrs.def","card_attrs.phy","primary_position","other_positions","updated","added","removed","slug","real_ovrs.0","real_ovrs.1","real_ovrs.2","real_ovrs.3","real_ovrs.4","real_ovrs.5","real_ovrs.6","real_ovrs.7","real_ovrs.8","real_ovrs.9","real_ovrs.10"
53,71,49,40,86,76,91,85,86,80,84,36,57,70,39,60,32,27,89,68,78,88,60,26,89,84,53,37,38,11,8,7,14,9,59,87,53,68,60,64,10,"2025-06-09","2029-06-01",0,21,"Germany","Jonathan","Tah","Tah","Jonathan Tah",17842,35599,35599,213331,1881,87,87,"1996-02-11T00:00:00.000Z",29,21,"Bayern München",19,10,3,"bayern-munchen",4,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p213331.png",0,9,8,1000,6,"Right",2,3,4,1,,195,94,"Male",,,"Yes","No",78500000,66500000,57500000,135000,115000,99000,"Precision Header, Intercept, Aerial Fortress","Career One Club Player",62,41,51,64,87,85,"CB","-",false,false,false,"jonathan-tah",18,73,76,85,80,60,67,59,58,56,59
65,62,65,56,82,39,83,86,35,68,25,15,65,40,18,30,15,16,17,61,64,23,64,20,18,20,16,38,15,84,84,85,88,84,26,21,37,58,67,38,85,"2021-07-01","2031-06-01",0,18,"France","Mike","Maignan","M. Maignan","Mike Maignan",25096,23069,22660,215698,1646,87,88,"1995-07-03T00:00:00.000Z",29,131681,"Milano FC",31,9,5,"milano-fc",16,31,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p215698.png",0,9,8,3001,5,"Right",1,4,4,2,,191,89,"Male",,,"Yes","No",72000000,61000000,52500000,72000,61000,53000,"","GK Footwork",64,24,44,58,21,60,"GK","-",false,false,false,"mike-maignan",85,38,36,36,43,44,48,47,43,41,39
64,59,68,45,64,31,38,84,29,68,11,15,68,43,12,19,19,15,20,67,62,28,65,14,14,13,20,18,26,86,84,87,87,85,27,19,33,43,64,37,86,"2024-07-04","2028-06-01",0,45,"Spain","David","Raya Martín","Raya","David Raya",8642,47619,30899,220901,1528,87,87,"1995-09-15T00:00:00.000Z",29,1,"Arsenal",13,10,9,"arsenal",1,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p220901.png",0,4,4,1541,2,"Right",1,3,4,2,,183,83,"Male",,,"Yes","No",64000000,54500000,47000000,170000,145000,125000,"","GK Footwork, Career One Club Player",62,27,40,55,17,41,"GK","-",false,false,false,"david-raya-martin",85,33,32,28,39,42,47,46,42,39,37
85,78,91,88,77,91,68,91,89,88,84,84,86,87,82,85,77,67,62,87,88,82,80,79,85,80,80,82,73,11,5,13,11,14,78,83,82,79,87,84,11,"2020-09-01","2029-06-01",0,27,"Italy","Nicolò","Barella","Barella","Nicolò Barella",27083,3686,3686,224232,2430,88,88,"1997-02-07T00:00:00.000Z",28,131682,"Lombardia FC",31,9,2,"lombardia-fc",23,31,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p224232.png",19,4,3,1512,8,"Right",3,4,4,1,,175,68,"Male",,,"Yes","No",107500000,91500000,78500000,89000,75000,65000,"Pinged Pass, Anticipate, Press Proven","",82,79,82,88,79,81,"CM","CDM",false,false,false,"nicolo-barella",19,84,83,80,85,85,86,85,83,84,79
80,83,87,79,82,87,73,87,74,90,82,78,88,88,78,86,75,64,72,87,90,76,68,69,78,77,70,84,53,7,13,10,9,10,77,77,82,76,84,78,10,"2019-07-01","2029-06-01",0,34,"Holland","Frenkie","de Jong","F. de Jong","Frenkie de Jong",12349,40582,11335,228702,2334,87,87,"1997-05-12T00:00:00.000Z",28,241,"FC Barcelona",53,10,2,"fc-barcelona",21,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p228702.png",2,2,2,2019,264,"Right",4,3,4,1,163000000,181,74,"Male",,,"Yes","No",94000000,79500000,68500000,200000,170000,145000,"Incisive Pass, Inventive, Press Proven","",82,69,82,86,77,79,"CM","CDM | CAM",false,false,false,"frenkie-de-jong",18,82,81,78,83,84,85,84,82,83,78
50,55,57,38,73,41,75,87,30,54,26,14,60,30,12,28,12,14,12,38,40,21,54,18,14,16,8,12,24,90,83,72,90,87,17,17,25,53,58,35,85,"2025-09-02","2030-06-01",0,27,"Italy","Gianluigi","Donnarumma","Donnarumma","Gianluigi Donnarumma",13217,9675,9675,230621,1435,89,91,"1999-02-25T00:00:00.000Z",26,10,"Manchester City",13,10,8,"manchester-city",25,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p230621.png",3,3,4,529,333,"Right",1,3,4,2,,196,90,"Male",,,"Yes","No",114000000,97000000,83000000,190000,160000,140000,"","GK Footwork, Career One Club Player",53,22,29,49,18,55,"GK","-",false,false,false,"gianluigi-donnarumma",86,32,31,31,35,36,38,38,36,34,33
93,89,94,81,84,76,69,91,58,88,45,95,84,94,80,94,90,68,74,78,89,49,91,85,49,39,79,85,80,6,6,14,13,10,83,46,84,81,90,75,10,"2023-08-12","2028-06-01",0,18,"France","Ousmane","Dembélé","O.Dembélé","Ousmane Dembélé",28441,8951,27701,231443,2320,90,90,"1997-05-15T00:00:00.000Z",28,73,"Paris Saint-Germain",16,10,10,"paris-saint-germain",10,16,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p231443.png",0,9,10,1001,261,"Left",5,5,5,1,,178,67,"Male",,,"Yes","No",144500000,122500000,105500000,260000,220000,185000,"Low Driven Shot, Pinged Pass, Inventive, Trickster, Quick Step","",91,87,81,90,51,72,"ST","RW | CAM",false,false,false,"ousmane-dembele",18,70,67,60,68,88,83,90,90,90,88
84,80,88,88,91,86,80,92,87,88,46,93,79,84,68,81,93,65,86,72,78,45,87,80,50,45,92,84,74,11,8,8,13,8,84,47,78,85,87,78,10,"2018-07-04","2029-06-01",0,52,"Argentina","Lautaro","Martínez","Lautaro","Lautaro Martínez",21084,23950,21084,231478,2314,88,88,"1997-08-22T00:00:00.000Z",27,131682,"Lombardia FC",31,9,2,"lombardia-fc",10,31,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p231478.png",21,9,4,1523,393,"Right",4,4,5,1,,174,72,"Male",,,"Yes","No",117000000,99000000,85000000,93000,79000,68000,"Power Shot, Precision Header, Technical, Relentless, Enforcer","",82,87,74,87,54,86,"ST","-",false,false,false,"lautaro-martinez",18,67,65,64,67,82,78,83,85,83,87
97,96,93,82,90,83,77,91,61,88,38,91,83,93,78,92,94,69,78,74,87,26,91,86,34,32,87,80,84,13,5,7,6,11,85,31,82,86,92,75,9,"2024-07-01","2029-06-01",0,18,"France","Kylian","Mbappé","Mbappé","Kylian Mbappé",20546,24412,24412,231747,2297,91,92,"1998-12-20T00:00:00.000Z",26,243,"Real Madrid",53,10,7,"real-madrid",10,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p231747.png",0,9,7,1016,343,"Right",5,4,5,1,368700000,182,81,"Male",,,"Yes","No",185000000,157000000,135000000,720000,610000,530000,"Finesse Shot, Acrobatic, Low Driven Shot, Gamechanger, Rapid, First Touch","Career One Club Player",97,89,79,90,42,78,"ST","LW | LM",false,false,false,"kylian-mbappe",17,67,63,54,63,88,81,89,90,90,89
65,65,65,67,83,86,83,89,85,92,84,76,84,89,76,81,74,64,80,90,92,88,90,87,87,82,71,86,62,10,10,7,8,14,79,86,82,86,71,81,10,"2019-07-04","2027-06-01",0,45,"Spain","Rodrigo","Hernández Cascante","Rodrigo","Rodri",31534,15177,31534,231866,2372,89,89,"1996-06-22T00:00:00.000Z",29,10,"Manchester City",13,10,8,"manchester-city",16,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p231866.png",0,3,4,1526,5,"Right",3,4,5,2,188700000,190,82,"Male",,,"Yes","No",104000000,88000000,75500000,310000,260000,230000,"Power Shot, Long Ball Pass, Press Proven, Bruiser","Career Injury Prone",65,77,82,81,84,84,"CDM","CM",false,false,false,"rodrigo-hernandez-cascante",18,83,82,84,87,81,86,83,81,79,80
61,67,51,37,88,71,89,89,89,79,89,52,63,71,42,64,37,31,91,76,79,90,62,39,88,90,33,57,51,12,8,13,7,10,57,90,60,70,61,71,10,"2020-09-01","2029-06-01",0,54,"Brazil","Gabriel","dos S. Magalhães","Gabriel","Gabriel",12603,40651,12603,232580,1976,89,90,"1997-12-19T00:00:00.000Z",27,1,"Arsenal",13,10,9,"arsenal",6,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p232580.png",0,9,8,1007,5,"Left",2,2,4,1,,190,87,"Male",,,"Yes","No",122500000,104000000,89500000,300000,250000,220000,"Precision Header, Jockey, Slide Tackle, Aerial Fortress, Bruiser","",64,46,58,65,90,84,"CB","-",false,false,false,"gabriel-dos-s-magalhaes",18,75,78,87,82,64,71,64,63,60,63
90,91,88,83,83,91,67,87,79,85,56,89,87,88,86,88,87,84,74,80,85,49,84,84,54,38,76,85,81,8,7,13,14,8,82,47,85,82,88,80,10,"2022-07-13","2028-06-01",0,54,"Brazil","Raphael","Dias Belloli","Raphinha","Raphinha",30799,9217,30804,233419,2349,89,89,"1996-12-14T00:00:00.000Z",28,241,"FC Barcelona",53,10,2,"fc-barcelona",11,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p233419.png",0,3,6,1002,1,"Left",4,4,4,1,213200000,176,68,"Male",,,"Yes","No",122500000,104000000,89500000,250000,220000,185000,"Finesse Shot, Power Shot, Trickster, Quick Step, Relentless","",91,84,85,87,54,80,"LW","LM | CAM",false,false,false,"raphael-dias-belloli",17,73,69,63,70,87,83,86,87,87,84
86,80,73,69,91,78,79,87,58,88,38,89,80,86,68,87,90,64,82,60,79,35,91,83,34,29,81,75,86,7,6,9,11,7,80,33,75,85,79,74,8,"2025-09-01","2031-06-01",0,46,"Sweden","Alexander","Isak","Isak","Alexander Isak",1497,16492,16492,233731,2166,87,88,"1999-09-21T00:00:00.000Z",25,9,"Liverpool",13,10,6,"liverpool",9,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p233731.png",0,9,9,1542,4,"Right",4,4,4,1,,192,77,"Male",,,"Yes","No",114000000,96500000,83000000,250000,210000,185000,"Power Shot, Low Driven Shot, Gamechanger, Rapid, First Touch","",83,87,71,82,44,77,"ST","-",false,false,false,"alexander-isak",16,62,59,54,59,81,75,83,85,83,86
71,73,63,65,84,94,79,89,85,86,86,77,83,85,89,82,64,75,79,86,87,81,87,83,86,85,50,87,71,8,11,14,9,5,74,84,83,86,73,82,10,"2023-07-15","2028-06-01",0,14,"England","Declan","Rice","Rice","Declan Rice",8835,31255,31255,234378,2359,88,89,"1999-01-14T00:00:00.000Z",26,1,"Arsenal",13,10,9,"arsenal",41,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p234378.png",3,2,3,3513,5,"Right",3,3,4,2,,188,80,"Male",,,"Yes","No",113000000,96000000,82500000,270000,230000,200000,"Dead Ball, Whipped Pass, Block, Press Proven","Career One Club Player",72,72,85,78,83,86,"CDM","CM",false,false,false,"declan-rice",17,85,84,83,85,82,84,81,80,79,77
89,95,81,78,84,95,72,90,77,84,85,84,78,85,85,82,80,80,71,73,86,82,82,77,85,79,74,78,68,10,8,14,8,6,80,82,80,82,87,80,10,"2021-07-06","2029-06-01",0,129,"Morocco","Achraf","Hakimi","Hakimi","Achraf Hakimi",438,14481,14481,235212,2405,89,90,"1998-11-04T00:00:00.000Z",26,73,"Paris Saint-Germain",16,10,10,"paris-saint-germain",2,16,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p235212.png",0,9,4,1009,1,"Right",4,4,4,3,,181,73,"Male",,,"Yes","No",131000000,111000000,95500000,200000,170000,145000,"Low Driven Shot, Whipped Pass, Jockey, Anticipate, Press Proven, Quick Step","Career One Club Player",92,78,80,83,80,82,"RB","RM",false,false,false,"achraf-hakimi",17,86,85,81,83,84,83,83,83,84,82
71,77,64,60,88,83,81,89,83,85,87,47,72,83,75,77,40,41,86,84,84,87,59,48,88,84,44,64,55,11,5,9,12,11,66,87,70,72,73,72,10,"2017-08-30","2028-06-01",0,27,"Italy","Alessandro","Bastoni","Bastoni","Alessandro Bastoni",1470,3853,3853,237383,2134,87,89,"1999-04-13T00:00:00.000Z",26,131682,"Lombardia FC",31,9,2,"lombardia-fc",95,31,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p237383.png",0,9,2,6,4,"Left",2,2,4,1,,190,75,"Male",,,"Yes","No",102500000,87000000,75000000,74000,63000,54000,"Pinged Pass, Long Ball Pass, Slide Tackle, Relentless","Career Injury Prone",74,49,70,76,86,84,"CB","-",false,false,false,"alessandro-bastoni",18,82,83,85,84,74,77,72,69,70,65
94,93,94,84,75,84,68,85,62,83,26,86,85,90,81,93,87,62,50,77,82,32,81,84,25,18,73,81,76,5,7,7,10,7,75,25,81,79,90,70,8,"2018-07-12","2027-06-01",0,54,"Brazil","Vinícius José","de Oliveira Júnior","Vini Jr.","Vini Jr.",38072,40602,38056,238794,2147,89,92,"2000-07-12T00:00:00.000Z",24,243,"Real Madrid",53,10,7,"real-madrid",7,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p238794.png",0,9,9,1000,1,"Right",5,4,5,1,299600000,176,73,"Male",,,"Yes","No",166000000,141000000,121000000,370000,320000,270000,"Finesse Shot, Gamechanger, Inventive, First Touch, Quick Step","",94,81,78,88,30,72,"LW","ST | LM",false,false,false,"vinicius-jose-de-oliveira-junior",15,62,57,46,58,86,78,87,86,87,82
87,93,77,72,83,94,82,89,81,84,84,84,86,88,77,83,80,72,63,88,89,81,95,92,87,85,82,76,59,6,10,6,8,15,79,85,82,90,84,80,9,"2016-07-22","2029-06-01",0,60,"Uruguay","Federico","Valverde","Valverde","Federico Valverde",11668,37519,37519,239053,2438,89,90,"1998-07-22T00:00:00.000Z",26,243,"Real Madrid",53,10,7,"real-madrid",8,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p239053.png",3,3,3,13,397,"Right",3,4,4,1,,182,78,"Male",,,"Yes","No",142500000,120500000,103500000,400000,340000,290000,"Long Ball Pass, Intercept, Slide Tackle, Rapid, Quick Step, Relentless","Career Injury Prone",90,82,81,82,80,85,"CM","RB | RM | CDM",false,false,false,"federico-valverde",18,86,85,82,86,85,87,86,86,85,83
82,92,71,69,93,78,93,94,88,86,43,95,75,83,58,79,96,62,85,66,78,42,94,83,47,29,90,77,90,7,14,13,7,11,82,40,74,89,82,80,11,"2022-07-01","2034-06-01",0,36,"Norway","Erling","Haaland","Haaland","Erling Haaland",10973,14348,14348,239085,2270,91,93,"2000-07-21T00:00:00.000Z",24,10,"Manchester City",13,10,8,"manchester-city",9,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p239085.png",15,5,2,20,277,"Left",3,3,5,1,,195,94,"Male",,,"Yes","No",203500000,172500000,148500000,490000,420000,360000,"Chip Shot, Power Shot, Precision Header, Acrobatic, Gamechanger, Enforcer","",87,91,69,80,49,88,"ST","-",false,false,false,"erling-haaland",19,63,61,62,65,80,76,82,86,82,89
55,62,62,56,84,71,89,87,88,85,87,39,64,75,54,64,29,48,85,79,81,87,74,26,87,85,32,46,45,7,8,13,12,7,57,87,63,69,65,68,10,"2020-09-29","2029-06-01",0,38,"Portugal","Rúben Santos","Gato Alves Dias","Rúben","Rúben Dias",32142,12906,32135,239818,1973,87,87,"1997-05-14T00:00:00.000Z",28,10,"Manchester City",13,10,8,"manchester-city",3,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p239818.png",3,3,2,24,5,"Right",2,4,4,1,124200000,187,82,"Male",,,"Yes","No",81000000,68500000,59000000,260000,220000,190000,"Jockey, Block","Career Injury Prone",59,41,62,72,86,83,"CB","-",false,false,false,"ruben-santos-gato-alves-dias",17,75,77,85,82,64,71,63,61,59,60
