Verein;Halten;Eins gegen Eins;Reflexe;Technik;Tackling;Elfmeter;Passen;Weitschüsse;Kopfballtechnik;Freistöße;Abschluss;Dribbling;Flanken;Ecken;Kraft;Ausdauer;Schnelligkeit;Übersicht;Teamwork;Stellungsspiel;Starker Fuß;Fähigkeit;Pot;Unique ID;Größe;Spieler;2. Nation;Nation;Geb.
SV Elversberg;3;2;3;10;2;5;6;7;7;5;11;13;8;5;3;6;11;6;5;2;Rechts;62;72;2000425839;172 cm;Kine Maurer;Mosambik;Deutschland;2.8.2007
SV Elversberg II;3;3;3;8;6;3;8;6;5;1;6;6;6;4;4;7;14;6;7;4;Links;50;68;2000243714;180 cm;Fynn Bähring;;Deutschland;25.5.2004
SV Elversberg II;3;3;3;7;10;5;6;1;9;2;8;8;13;7;8;12;11;6;9;8;Nur Rechts;69;100;2000325625;191 cm;Reber Kazik;Türkei;Deutschland;25.8.2004
SV Elversberg II;3;1;2;11;4;15;9;9;13;10;11;10;7;3;13;11;12;8;8;4;Rechts;92;118;2000310876;190 cm;Mohammad Mahmoud;Palästina;Deutschland;13.2.2005
SV Elversberg II;3;3;1;10;11;7;10;7;10;6;6;11;9;6;9;13;12;8;13;11;Nur Rechts;88;110;2000282231;177 cm;Daniel Pantschenko;Ukraine;Deutschland;16.1.2003
SV Elversberg II;3;1;1;4;11;1;6;4;8;3;1;1;1;4;8;3;6;5;5;13;Rechts;68;73;2000425853;190 cm;Corneille Bala Bindzi;Frankreich;Deutschland;18.5.2007
SV Elversberg II;3;1;1;10;13;6;8;9;6;8;12;7;9;5;6;8;9;10;9;9;Nur Rechts;77;89;92068915;182 cm;Salif Cissé;Senegal;Deutschland;17.6.1994
SV Elversberg;3;1;1;14;9;11;13;11;8;11;10;14;10;11;11;14;14;14;15;8;Nur Links;125;142;2000065826;178 cm;Bambasé Conté;Guinea;Deutschland;7.7.2003
SV Elversberg II;3;3;3;6;13;1;5;4;11;1;1;1;1;2;6;4;9;4;6;13;Rechts;77;101;2000311509;186 cm;Matteo Heinz;Deutschland;Deutschland;28.6.2006
SV Elversberg;3;1;3;12;11;15;11;10;7;11;8;11;11;11;7;13;12;11;15;9;Rechts;110;112;91167310;171 cm;Manuel Feil;;Deutschland;8.10.1994
SV Elversberg;3;1;3;14;7;12;12;12;11;12;10;13;11;12;8;13;13;12;13;7;Rechts;120;125;91189016;180 cm;Tom Zimmerschied;Deutschland;Deutschland;22.9.1998
SV Elversberg;3;1;1;12;8;12;11;12;7;11;11;14;11;11;11;14;15;11;12;8;Rechts;120;130;91194664;183 cm;Lukas Petkov;Deutschland;Bulgarien;1.11.2000
SV Elversberg;3;2;1;13;12;10;14;8;7;11;7;12;8;11;12;15;13;12;16;12;Rechts;118;120;91132042;173 cm;Amara Condé;Deutschland;Guinea;6.1.1997
SV Elversberg;3;3;1;12;6;12;11;11;11;8;12;12;8;6;13;12;14;11;13;4;Rechts;115;135;2000026134;181 cm;David Mokwa;Kamerun;Frankreich;3.5.2004
SV Elversberg;2;2;2;9;14;7;11;6;13;3;6;8;6;2;14;6;8;10;13;12;Nur Rechts;85;114;91128566;187 cm;Patryk Dragon;Polen;Deutschland;11.4.1996
SV Elversberg II;2;1;1;8;7;5;12;7;7;7;11;9;8;7;7;7;14;6;8;7;Nur Rechts;77;97;2000067776;173 cm;Angelos Stavridis;Griechenland;Deutschland;22.7.2003
SG Dynamo Dresden;2;1;3;14;6;12;13;10;6;11;10;15;9;11;7;11;12;13;11;6;Links;112;125;91179561;169 cm;Jason Ceka;Albanien;Deutschland;10.11.1999
SV Elversberg II;2;1;3;8;9;5;9;7;7;7;7;9;9;7;8;10;8;6;10;9;Nur Rechts;56;104;35007024;180 cm;Lukas Kohler;;Deutschland;24.5.1987
SV Elversberg;2;1;1;11;14;7;12;7;13;4;6;12;11;4;15;13;14;12;16;13;Nur Rechts;125;132;91194379;185 cm;Lukas Pinckert;;Deutschland;22.1.2000
SV Elversberg;2;2;3;13;6;12;10;11;7;11;8;15;11;11;11;11;14;10;10;6;Nur Links;102;135;2000524600;188 cm;Raif Adam;Frankreich;Deutschland;7.9.2005
FC Emmen;2;1;1;13;7;12;10;10;6;10;10;13;11;11;8;11;15;10;9;7;Links;107;117;91201950;183 cm;Filimon Gerezgiher;Deutschland;Eritrea;4.7.2000
SV Elversberg;2;1;3;5;12;4;6;2;12;1;2;1;1;4;3;5;11;2;5;10;Rechts;62;98;2000433414;181 cm;Robin Heydt;;Deutschland;27.2.2008
SV Elversberg;2;2;2;4;10;1;5;3;13;1;1;1;4;1;5;9;10;1;5;12;Rechts;63;82;2000433411;191 cm;Leon Schmitt;;Deutschland;20.7.2008
SV Elversberg II;2;1;2;7;13;5;13;13;5;5;6;2;5;5;6;5;13;8;7;4;Rechts;64;91;2000425851;192 cm;Kian Wenskat;;Deutschland;27.4.2007
SV Elversberg;2;3;3;10;12;6;12;6;13;3;6;8;6;3;15;11;14;11;14;13;Nur Links;116;118;85099801;193 cm;Florian Le Joncour;Mosambik;Frankreich;3.2.1995
SV Elversberg II;2;2;2;11;3;2;13;8;6;6;10;11;6;5;4;6;12;5;7;6;Nur Rechts;54;83;2000193742;177 cm;Anton Ziegler;;Deutschland;18.9.2003
SV Elversberg;2;1;1;13;11;12;13;12;6;12;10;12;12;13;10;14;12;13;15;10;Nur Rechts;115;132;2000071950;183 cm;Frederik Schmahl;;Deutschland;21.12.2002
SV Elversberg II;2;2;1;11;11;5;9;8;7;7;7;4;7;7;6;9;13;6;8;11;Rechts;72;110;2000425846;182 cm;Tyler Notarrigo;;Deutschland;8.6.2007
SV Elversberg;2;3;3;12;1;3;6;6;13;5;13;13;5;2;5;6;9;3;5;4;Rechts;55;70;2000433399;182 cm;Berke Tundzha;;Bulgarien;2.2.2008
SV Elversberg;2;4;4;12;11;10;10;9;6;11;7;12;12;11;11;13;16;10;12;10;Links;115;132;2000046388;183 cm;Lasse Günther;Frankreich;Deutschland;21.3.2003
SV Elversberg;2;2;4;12;11;11;11;8;6;13;7;11;13;13;10;14;15;11;16;10;Rechts;118;136;2000069240;178 cm;Felix Keidel;Frankreich;Deutschland;14.6.2003
SV Elversberg;2;3;3;7;1;4;4;2;10;5;11;10;1;5;6;4;12;6;5;3;Rechts;62;79;2000425837;183 cm;Loay Al Mohammad;;Syrien;1.1.2007
SV Elversberg;2;2;2;13;11;8;11;7;8;11;6;13;12;12;11;15;13;10;13;10;Rechts;118;136;53138009;179 cm;Nicholas Mickelson;Norwegen;Thailand;24.7.1999
SV Elversberg;2;1;1;11;9;1;15;7;7;7;3;4;7;7;7;7;11;7;7;7;Rechts;68;92;2000332779;173 cm;Philipp Besch;;Deutschland;16.12.2007
SV Elversberg II;2;3;3;10;3;4;7;7;14;6;14;14;3;6;6;7;9;7;6;6;Rechts;66;92;2000425842;177 cm;Denis Hellhorn;;Deutschland;8.5.2007
SV Elversberg;2;3;2;5;10;1;6;5;6;3;1;7;8;6;4;6;14;6;7;6;Links;60;74;2000332490;179 cm;Luca Sauter;Griechenland;Deutschland;23.7.2007
SV Elversberg;2;2;1;12;6;13;10;9;12;11;13;12;8;4;13;9;12;11;11;4;Nur Rechts;97;113;7988458;181 cm;Kevin Koffi;Elfenbeinküste;Italien;25.6.1986
SV Elversberg II;1;2;2;10;9;3;12;8;7;7;10;9;5;4;1;10;14;12;8;7;Rechts;71;94;2000425845;159 cm;Lionel Notarrigo;;Deutschland;8.6.2007
SV Elversberg II;1;2;2;7;9;6;7;4;7;2;2;5;10;6;4;6;14;5;7;7;Nur Links;57;84;2000322666;180 cm;Jibril Dor;Algerien;Frankreich;29.1.2005
SV Elversberg;1;2;2;12;6;12;12;12;14;8;12;11;8;4;11;12;13;12;13;6;Rechts;115;118;91123865;180 cm;Luca Schnellbacher;Deutschland;Deutschland;6.5.1994
SV Elversberg;1;1;1;13;12;12;13;7;11;8;6;13;11;8;12;13;15;13;15;12;Rechts;120;127;91123695;184 cm;Jan Gyamerah;Deutschland;Ghana;18.6.1995
SV Elversberg II;1;2;1;9;1;10;7;5;14;6;14;9;3;3;5;6;9;7;6;2;Rechts;66;78;2000425844;182 cm;Carl Biboum;;USA;17.8.2006
SV Elversberg;1;3;1;11;14;13;12;8;12;11;6;10;7;6;12;14;12;12;16;13;Rechts;118;122;91173231;183 cm;Carlo Sickinger;Deutschland;Deutschland;29.7.1997
SV Elversberg;1;2;4;15;8;12;12;13;6;13;11;15;12;13;8;13;15;12;10;7;Rechts;120;140;37060940;175 cm;Immanuel Pherai;Niederlande;Suriname;25.4.2001
SV Elversberg II;1;3;4;6;10;1;12;5;5;5;4;3;3;5;6;13;10;7;7;8;Rechts;55;77;2000068364;175 cm;Tim Wachall;;Deutschland;28.4.2003
SV Elversberg;1;2;2;11;11;8;11;8;13;12;6;11;7;6;13;13;12;10;13;12;Nur Rechts;98;128;2000101482;187 cm;Luis Seifert;Frankreich;Deutschland;26.1.2004
SV Elversberg;1;3;4;12;7;1;10;6;5;5;6;6;5;3;6;6;11;12;7;8;Rechts;62;90;2000433410;179 cm;Emil Geißelmann;Frankreich;Deutschland;17.3.2008
SV Elversberg;1;2;2;13;11;4;9;10;6;5;7;2;1;5;4;7;10;11;7;9;Rechts;55;97;2000433409;181 cm;Maas Ketz;;Deutschland;6.2.2008
SV Elversberg;1;2;1;9;5;4;12;11;5;3;4;4;3;3;5;8;11;7;6;5;Rechts;53;89;2000433406;183 cm;Tim Gotthardt;;Deutschland;10.3.2008
SV Elversberg;1;2;3;10;9;5;12;9;7;7;8;6;7;7;5;10;14;10;8;7;Rechts;65;99;2000433405;175 cm;Marlon Ambos;;Deutschland;25.7.2008
SV Elversberg;1;2;1;13;13;8;13;8;12;3;7;13;7;2;14;12;13;13;16;12;Rechts;123;126;2000020516;193 cm;Maximilian Rohr;;Deutschland;27.6.1995
SV Elversberg;1;2;1;8;8;1;5;3;5;2;5;5;2;2;5;12;10;7;7;10;Rechts;55;89;2000433403;190 cm;Can Çamlica;Mosambik;Deutschland;26.8.2008
SV Elversberg;1;1;3;11;1;2;10;7;10;5;11;9;5;5;4;4;13;8;6;7;Rechts;60;89;2000332778;185 cm;Luca Heiler;;Deutschland;15.1.2007
SV Elversberg;1;4;2;12;7;12;11;10;6;12;8;14;11;12;11;14;14;10;11;7;Rechts;110;141;2000257650;179 cm;Jarzinho Malanga;Brasilien;Deutschland;10.7.2006
SV Elversberg;1;2;3;12;12;10;12;10;12;10;8;11;11;11;12;15;13;12;16;12;Rechts;120;135;96131652;179 cm;Łukasz Poręba;;Polen;13.3.2000
SV Elversberg;1;1;1;13;7;12;12;10;12;7;11;12;7;3;16;12;12;12;13;6;Rechts;116;125;91175522;196 cm;Luca Pfeiffer;Deutschland;Deutschland;20.8.1996
SV Elversberg;1;1;2;7;1;7;4;3;13;5;13;8;2;5;6;5;12;5;5;4;Rechts;54;76;2000433401;177 cm;Dorian Rostoucher;Norwegen;Deutschland;21.6.2008
